painting	paintingLabel	depictedLabels	depicteds	Genre
http://www.wikidata.org/entity/Q3201473	The Adoration of the Shepherds	Child Jesus@Adoration of the shepherds	http://www.wikidata.org/entity/Q942467@http://www.wikidata.org/entity/Q1029715	Religion
http://www.wikidata.org/entity/Q17320337	Virgin and Child with young John the Baptist and Saint Catherine	Catherine of Alexandria	http://www.wikidata.org/entity/Q179718	Religion
http://www.wikidata.org/entity/Q3873242	The Birth of St. John the Baptist	baby@writing@bed@John the Baptist@Zechariah@birth	http://www.wikidata.org/entity/Q998@http://www.wikidata.org/entity/Q37260@http://www.wikidata.org/entity/Q42177@http://www.wikidata.org/entity/Q40662@http://www.wikidata.org/entity/Q139464@http://www.wikidata.org/entity/Q14819852	Religion
http://www.wikidata.org/entity/Q368788	Pietà	Jesus@Virgin Mary@woman@man	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q467@http://www.wikidata.org/entity/Q8441	Religion
http://www.wikidata.org/entity/Q500951	The Yellow Christ	Jesus@Christ@Chapelle de Trémalo	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q642420@http://www.wikidata.org/entity/Q15945237	Religion
http://www.wikidata.org/entity/Q1825924	Lindau Lamentation	Jesus@Virgin Mary@blood@John the Baptist@Man of Sorrows@angel@robe@coffin@dress@grief@crown of thorns@loincloth@veil	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q345@http://www.wikidata.org/entity/Q7873@http://www.wikidata.org/entity/Q40662@http://www.wikidata.org/entity/Q49599@http://www.wikidata.org/entity/Q235113@http://www.wikidata.org/entity/Q345127@http://www.wikidata.org/entity/Q184418@http://www.wikidata.org/entity/Q200539@http://www.wikidata.org/entity/Q1026040@http://www.wikidata.org/entity/Q1127583@http://www.wikidata.org/entity/Q1130359@http://www.wikidata.org/entity/Q6497446	Religion
http://www.wikidata.org/entity/Q3879145	The Wedding at Cana	Jesus@man@Marriage at Cana@banquet	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q8441@http://www.wikidata.org/entity/Q625140@http://www.wikidata.org/entity/Q626066	Religion
http://www.wikidata.org/entity/Q3884942	Agony in the Garden	Jesus@man	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q8441	Religion
http://www.wikidata.org/entity/Q3884943	Agony in the Garden	Jesus@man	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q8441	Religion
http://www.wikidata.org/entity/Q3884947	Agony in the Garden	Jesus@man	http://www.wikidata.org/entity/Q302@http://www.wikidata.org/entity/Q8441	Religion
